1	0.166599	4
2	0.065831	6
1	0.299578	15
2	0.06658	17
1	0.46575	22
1	0.133313	34
2	0.665726	37
1	0.066288	57
2	0.066594	59
1	0.09974	62
2	0.066617	64
1	0.565597	66
1	0.100656	84
2	0.065752	86
1	0.100571	89
2	0.065889	91
1	0.133449	95
2	0.066197	97
1	0.133175	101
2	0.06684	103
1	0.099425	106
2	0.067204	108
1	0.099247	111
2	0.100442	114
1	0.133121	118
2	0.065976	120
1	0.200085	126
2	0.066164	128
1	0.099573	131
2	0.066788	133
1	0.166719	138
2	0.066193	140
1	0.066517	142
2	0.066753	144
1	0.132944	148
2	0.066452	150
1	0.166363	155
2	0.066569	157
1	0.100178	160
2	0.066215	162
1	0.233018	169
2	0.06655	171
1	0.13306	175
2	0.099825	178
1	0.36651	180
1	0.26572	197
2	0.066538	199
1	0.26625	207
2	0.066838	209
1	0.167997	214
2	0.064639	216
1	0.133184	220
2	0.09984	223
2	0.066467	225
1	0.133699	229
2	0.099542	232
1	0.39935	235
1	0.132771	248
2	0.066589	250
1	0.299735	259
2	0.066266	261
1	0.200166	267
2	0.066158	269
1	0.099897	272
2	0.066935	274
1	0.132677	278
2	0.099795	281
1	0.099713	284
2	0.066663	286
1	0.133105	290
2	0.100842	293
1	0.065711	295
2	0.066412	297
1	0.366862	308
2	0.065629	310
1	0.399385	313
1	0.399183	334
2	0.10042	337
1	0.099227	340
2	0.066919	342
1	0.166261	347
2	0.06647	349
1	0.166372	354
2	0.067035	356
1	0.099368	359
2	0.099897	362
1	0.366398	373
2	0.066215	375
1	0.099793	378
2	0.06635	380
1	0.133108	384
2	0.100413	387
1	0.166482	392
2	0.065865	394
1	0.133324	398
2	0.066983	400
1	0.33221	410
2	0.066644	412
1	0.100482	415
2	0.066013	417
1	0.365754	419
1	0.199831	434
2	0.06651	436
1	0.099785	439
2	0.13325	442
2	0.066692	445
1	0.099658	448
2	0.067729	450
1	0.198533	456
2	0.066305	458
1	0.233709	465
2	0.066286	467
1	0.199255	473
2	0.099862	476
1	0.299714	485
2	0.066298	487
1	0.134065	491
2	0.099309	494
1	0.165915	499
2	0.099934	502
1	0.133274	506
2	0.099599	508
2	0.067095	511
1	0.099965	514
2	0.06613	516
1	0.499212	522
1	0.132739	534
2	0.066945	537
1	0.266291	545
2	0.066305	547
1	0.232799	554
2	0.066583	556
1	0.133047	560
2	0.099715	563
1	0.100036	566
2	0.067261	568
1	0.165563	573
2	0.099844	576
1	0.166468	581
2	0.066539	582
1	0.233209	589
2	0.066152	591
1	0.100008	594
2	0.066495	596
1	0.133123	600
2	0.100528	602
2	0.066619	605
1	0.065775	607
2	0.133014	609
2	0.067506	613
1	0.198841	619
2	0.06652	621
1	0.399681	633
2	0.066075	635
1	0.432732	639
1	0.366065	659
2	0.066389	661
1	0.233146	668
2	0.066522	670
1	0.099755	673
2	0.100183	676
1	0.265819	684
2	0.066828	686
1	0.06714	688
2	0.065671	690
1	0.067077	692
2	0.066022	694
1	0.266182	702
2	0.066996	704
2	0.066062	706
1	0.366602	708
1	0.299945	726
2	0.099044	729
1	0.166179	734
2	0.066593	736
1	0.200066	742
2	0.066391	744
1	0.232829	751
2	0.066572	753
2	0.066515	755
1	0.10017	758
2	0.099412	761
1	0.13302	765
2	0.066836	767
1	0.099653	770
2	0.067061	772
1	0.13348	776
